Real Prices,Predicted Prices
587.9500122070312,588.8664690906517
68.62571716308594,70.40225837143953
678.27001953125,661.1983832975893
56.74285888671875,57.736961787576085
49.25857162475586,52.20802139244221
437.0,452.9065173412819
139.69000244140625,143.76279166409404
529.9299926757812,518.1373895295692
182.1100006103516,183.22182785424414
320.63000488281256,308.4537040486139
101.56999969482422,102.3728783151937
104.04000091552734,106.06765540786
123.51000213623048,124.20683838054356
53.21142959594727,57.20460273979324
160.3300018310547,158.1726573551423
61.33714294433594,64.06088936950823
110.36000061035156,107.7490584869156
371.30999755859375,375.5525938230203
366.4800109863281,381.85069348035904
331.760009765625,341.52520383670344
554.72998046875,561.6338393634869
415.55999755859375,432.26243951861403
393.7999877929688,398.6617514112804
356.92999267578125,361.94205094015706
184.72999572753906,183.71948262664958
91.5057144165039,97.53561582151997
348.0899963378906,352.29359638746246
154.33999633789062,160.9642401170331
365.1600036621094,363.43529516948183
283.82000732421875,279.80763399945863
263.29998779296875,273.0564048992419
200.13999938964844,194.60092106065716
94.61000061035156,98.27043336691895
431.2300109863281,427.11306054580206
389.29998779296886,385.2057007080002
100.0500030517578,100.88390515855826
598.7100219726562,614.8803035847595
338.48999023437494,330.9821887939579
54.44714355468751,57.92677115353262
51.618572235107415,55.08838998275086
545.0900268554688,526.7772917990806
359.3699951171875,358.126404903418
422.9299926757813,440.8943112062553
397.4500122070313,399.230301164258
214.3000030517578,190.99882865838484
107.4800033569336,103.50050424409892
65.85713958740234,69.01733530201545
430.17999267578125,440.7484094327593
324.94000244140625,357.3713950776437
373.5,371.63733768423845
378.0499877929688,381.8882982243085
80.56999969482422,92.38060965011391
100.87999725341795,105.3143395329489
146.80999755859375,144.67624139539475
299.7900085449219,303.8358492133302
194.1699981689453,198.71629505269996
351.9700012207031,347.867819171428
196.17999267578125,187.2990565824039
354.489990234375,368.6464864575537
316.25,319.4980320254581
388.9299926757813,389.4126831766407
223.1000061035156,223.38692785975584
63.57143020629883,66.94168084427383
131.19000244140625,127.80361245275526
628.1799926757812,610.6038256960892
397.5,378.56622410404816
165.60000610351565,165.16625173271316
356.3699951171875,357.91986837594595
283.1799926757813,292.8514031234117
177.3300018310547,184.30256850498338
93.35713958740234,96.93357313694469
550.1699829101562,544.2901762551701
48.28714370727539,50.87600533106899
144.27999877929688,145.72768779616308
65.68571472167969,68.11056967882178
318.0,348.3314501444438
260.1099853515625,279.30798123372733
231.22000122070315,230.13690218155537
124.9800033569336,128.02267746011603
186.1000061035156,187.4559038845546
546.510009765625,546.723481170382
288.7300109863282,292.6633794036643
90.12999725341795,88.4680030242207
50.85714340209961,62.42591550492465
506.0,501.01950931921607
335.2699890136719,346.5391246533072
544.27001953125,551.8861800986997
54.92285537719727,57.88487603261046
359.7699890136719,381.5607431445678
610.010009765625,613.2203282602131
495.35998535156256,491.8708233579528
182.55000305175784,178.69549462628314
442.8500061035156,449.30345007270085
352.3699951171875,348.114643738234
240.94999694824216,247.33616925047684
107.74999999999999,115.92163783922206
60.71428680419921,65.34473883090868
336.4700012207031,331.6186510157313
528.8400268554688,512.2156461802588
507.6000061035156,513.4681853005968
375.2300109863281,380.45260006362514
61.16999816894531,65.34987135724214
290.2300109863281,260.999374218296
228.63000488281247,237.11319992125212
46.547142028808594,50.15455057255439
60.33856964111329,64.83058975490553
492.92001342773443,502.980245378225
465.3999938964844,462.7025145315566
119.0,118.85284848252286
349.8999938964844,338.8397077639165
60.988571166992195,54.33882939420857
118.9499969482422,118.7039690233214
309.2000122070313,275.48648599913577
550.27001953125,545.7385766342923
221.00000000000003,216.94643980848926
91.0,93.26450934968943
495.1900024414063,507.32787885529257
189.88999938964844,187.97786274968715
380.00000000000006,372.87064973836823
90.75000000000001,91.67077667342983
81.7857131958008,73.52243381830067
683.1099853515624,672.3643668680525
242.6699981689453,237.20045528195627
349.6000061035156,327.1140737150963
429.0,431.6278305080414
274.4700012207031,265.51603600030285
281.0,280.40058436658
226.05000305175778,236.48640914543287
270.67999267578125,277.92380620528274
344.3399963378906,334.5877849236567
